Hcode,Severity
H200,1.0
H201,1.0
H202,0.8333333333333334
H203,0.6666666666666666
H204,0.5
H205,0.3333333333333333
H206,1.0
H207,0.5
H208,0.25
H220,1.0
H221,0.75
H222,1.0
H223,0.75
H224,1.0
H225,0.75
H226,0.5
H227,0.25
H228,0.75
H229,0.5
H230,0.5
H231,0.5
H232,1.0
H240,1.0
H241,0.8
H242,0.4
H250,1.0
H251,1.0
H252,0.75
H260,1.0
H261,0.5
H270,1.0
H271,1.0
H272,0.5
H280,0.5
H281,0.5
H282,1.0
H283,0.75
H284,0.5
H290,1.0
H300,1.0
H301,0.5
H302,0.25
H303,0.1
H304,1.0
H305,0.75
H310,1.0
H311,0.5
H312,0.25
H313,0.1
H314,1.0
H315,0.75
H316,0.5
H317,1.0
H318,1.0
H319,0.75
H320,0.5
H330,1.0
H331,0.5
H332,0.25
H333,0.1
H334,1.0
H335,0.5
H336,0.5
H340,1.0
H341,0.75
H350,1.0
H350i,1.0
H351,0.75
H360,1.0
H360F,1.0
H360D,1.0
H360FD,1.0
H360Fd,1.0
H360Df,1.0
H361,0.75
H361f,0.75
H361d,0.75
H361fd,0.75
H362,0.25
H370,1.0
H371,0.75
H372,1.0
H373,0.75
H400,1.0
H401,0.75
H402,0.5
H410,1.0
H411,0.75
H412,0.5
H413,0.25
H420,1.0
H300+H310,1.0
H300+H330,1.0
H310+H330,1.0
H300+H310+H330,1.0
H301+H311,0.5
H301+H331,0.5
H311+H331,0.5
H301+H311+H331,0.5
H302+H312,0.25
H302+H332,0.25
H312+H332,0.25
H302+H312+H332,0.25
H303+H313,0.1
H303+H333,0.1
H313+H333,0.1
H303+H313+H333,0.1
H315+H320,0.75
